Tox	DicerKO.rep1	DicerKO.rep2	DroshaKO.rep1	DroshaKO.rep2	Wildtype.rep1	Wildtype.rep2
6.7	16.544	14.048	19.565	37.563	15.507	13.076
6.8	18.614	8.195	38.527	38.363	8.317	6.905
6.9	14.477	14.048	19.264	25.575	2.436	3.169
60	13.442	3.512	55.985	53.147	3.862	4.19
60.1	3.102	2.342	13.545	10.389	0.059	0.227
60.2	14.477	8.196	128.524	132.27	11.645	10.812
60.3	44.463	63.216	7.224	5.195	3244.732	3498.941
60.4	73.417	93.652	43.343	43.156	156.202	176.991
60.5	6.204	5.854	3.913	4.795	157.866	137.313
60.6	42.394	64.387	44.246	61.14	3.624	4.982
60.7	178.889	204.867	148.09	141.858	70.106	79.753
60.8	85.823	81.947	53.277	55.146	29.528	35.715
60.9	4.136	10.536	10.535	7.992	169.216	173.934
61	3969.776	3804.588	8417.968	8359.376	265.17	228.327
61.1	345.377	343	87.889	107.894	8.792	9
61.2	551.152	676.634	135.749	121.079	234.51	305.025
61.3	2640.996	2693.647	2027.748	1999.226	3314.604	3314.881
61.4	19.647	16.39	772.031	749.262	53.056	50.315
61.5	46.531	43.314	83.374	84.716	185.017	203.14
61.6	8.272	14.048	23.778	27.173	3.743	6.623
61.7	89746.582	83293.529	40738.732	40594.058	1046.168	1037.514
61.8	400.178	520.937	314.539	368.031	415.727	373.17
61.9	1314.285	2413.867	1278.894	1389.031	577.753	545.806
62	22.749	29.266	14.147	8.392	0.416	0.566
62.1	846.895	800.72	2102.693	2012.424	47.581	45.68
62.2	92.031	91.309	29.498	43.556	1.485	1.472
62.3	176.823	159.207	230.861	240.958	17.997	17.036
62.4	21.714	16.39	71.334	71.13	7.07	7.698
62.5	258.514	237.641	1837.82	1805.423	109.677	99.109
